timestamp	open	high	low	close	volume	trades
1621382460000	4073.98	4073.98	4073.98	4073.98	0.04904395	1
1621382760000	4091.45	4091.45	4091.45	4091.45	2	1
1621382820000	4135.92	4135.92	4135.92	4135.92	0.08589401	1
1621382880000	4140.3	4140.3	4140.3	4140.3	0.04763	1
1621382940000	4130	4131.83	4130	4131.83	0.04717504	4
1621383060000	4129.94	4129.94	4129.94	4129.94	0.03497429	1
1621383120000	4135	4135	4135	4135	0.23551667	1
1621383180000	4135	4135	4135	4135	4.76448333	29
1621383300000	4135	4135	4135	4135	0.01270802	4
1621383360000	4125	4125	4125	4125	0.38227	4
1621383780000	4125.15	4125.15	4125.15	4125.15	0.02577735	1
1621383840000	4132.24	4132.24	4132.24	4132.24	0.01211	1
1621383900000	4134.3	4134.3	4134.3	4134.3	0.24227246	1
1621384020000	4139.19	4139.19	4139.19	4139.19	0.40139361	1
1621384140000	4136.15	4136.15	4136.15	4136.15	0.2596698	1
1621384380000	4122.34	4122.34	4122.34	4122.34	0.06574572	1
1621384500000	4100	4100	4078.85	4078.85	1.0433861	6
1621384560000	4094.27	4094.27	4094.27	4094.27	0.23648922	1
1621384680000	4107.15	4107.15	4107.15	4107.15	0.04242748	1
1621384920000	4099.46	4112.08	4089.16	4112.08	4.01613	7
1621384980000	4106.68	4106.68	4106.68	4106.68	0.10319289	1
1621385220000	4093.36	4093.46	4093.36	4093.46	0.13055118	2
1621385280000	4085.38	4085.58	4085.38	4085.58	0.47654248	2
1621385400000	4068.67	4068.67	4068.67	4068.67	0.0500796	1
1621385580000	4076.91	4076.91	4076.91	4076.91	0.33017	1
1621385640000	4078.07	4078.07	4078.07	4078.07	0.02156313	1
1621385880000	4077.24	4077.24	4077.24	4077.24	0.0925096	1
1621386180000	4036.03	4036.04	4036.03	4036.04	0.48191107	2
1621386300000	4040.01	4040.01	4040.01	4040.01	0.19130382	1
1621386420000	4029.74	4029.74	4029.74	4029.74	0.09660885	1
1621386540000	4019.6	4019.6	4019.59	4019.59	0.2608556	2
1621386660000	4000	4015.33	3999.4	4015.33	2.00039206	10
1621386720000	4006.12	4006.12	4006.12	4006.12	0.02426945	1
1621386840000	3985.52	3985.52	3985.52	3985.52	0.21787445	1
1621386900000	3994.5	3994.5	3994.5	3994.5	0.37005	1
1621386960000	3998.06	3998.06	3998.06	3998.06	0.13439155	1
1621387020000	3970	3970	3970	3970	0.12562955	1
1621387080000	3969.23	3969.24	3948.08	3948.08	6.87212703	5
1621387200000	3964.06	3964.09	3949.28	3962.27	1.67389812	4
1621387260000	3934.78	3934.78	3930	3930	0.07497	2
1621387320000	3928.93	3944.97	3923.22	3944.97	1.41447208	4
1621387380000	3944.97	3949.73	3943.94	3949.73	1.21631917	3
1621387500000	3956.16	3956.16	3956.16	3956.16	0.02233616	1
1621387620000	3952.1	3952.1	3952.1	3952.1	0.12294153	1
1621387800000	3932.88	3932.88	3932.87	3932.87	0.14208	3
1621387860000	3944.89	3945.16	3935	3935	2.07851854	5
1621387920000	3935	3936.22	3922.96	3922.96	2.87616855	5
1621387980000	3920	3920	3920	3920	0.23711242	2
1621388100000	3910	3910	3910	3910	0.01279	1
1621388160000	3900	3900	3891.5	3891.5	12.86026133	3
1621388220000	3890	3890	3890	3890	0.01285	2
1621388280000	3881.92	3881.92	3881.9	3881.9	0.45239232	2
1621388340000	3893.9	3893.9	3893.9	3893.9	0.11226	1
1621388400000	3902.5	3902.5	3902.5	3902.5	0.05950755	2
1621388460000	3900.19	3900.19	3900.19	3900.19	3.526	7
1621388520000	3900.19	3900.19	3899.19	3899.19	0.95764544	7
1621388640000	3900.8	3900.8	3900.8	3900.8	0.19939554	1
1621388760000	3882	3882	3880	3880	0.28606889	7
1621388820000	3870	3870	3868	3868	0.14218577	3
1621388880000	3860	3860	3850	3850	0.98750557	13
1621388940000	3850	3850	3844.8	3847.25	0.52124854	9
1621389000000	3844.8	3844.8	3844.8	3844.8	0.18780883	21
1621389060000	3844.8	3844.8	3830	3830	0.07146165	10
1621389120000	3835.96	3854.39	3835.96	3854.39	7.00894446	11
1621389180000	3870.98	3870.98	3853.64	3853.64	8.32793294	8
1621389360000	3869.69	3869.69	3867.04	3867.04	0.9522282	3
1621389420000	3894.36	3894.36	3874.24	3874.24	1.13860969	3
1621389480000	3880.37	3880.37	3856.41	3856.41	1.08868	3
1621389540000	3850.02	3879.06	3841.23	3865.53	0.89144868	7
1621389660000	3897.18	3897.18	3876.39	3876.39	1.37579945	7
1621389840000	3907.36	3907.54	3907.36	3907.54	0.06120554	2
1621390020000	3860.01	3860.01	3841.53	3841.53	0.08303314	3
1621390080000	3861.61	3861.61	3861.61	3861.61	0.25358	1
